app_id,name,genre,price_usd,release_year,is_free
1276760,DRAGON BALL: THE BREAKERS,Action,19.99,2022,0
1608070,CRISIS CORE –FINAL FANTASY VII– REUNION,Action,49.99,2022,0
1580240,Rune Factory 4 Special,RPG,8.99,2021,0
1602010,Persona 4 Arena Ultimax,Action,29.99,2022,0
1040230,Curious Expedition 2,Adventure,19.99,2021,0
1374840,Dark Deity,Adventure,24.99,2021,0
775500,SCARLET NEXUS,Action,59.99,2021,0
758870,Kynseed,Adventure,24.99,2022,0
978300,Saints Row®: The Third™ Remastered,Action,29.99,2021,0
2603020,Citadelum,Indie,24.99,2024,0
1274600,The Last Faith,Action,27.99,2023,0
1939970,Nobody Wants to Die,Adventure,24.99,2024,0
2008920,Lorelei and the Laser Eyes,Adventure,24.99,2024,0
1307710,GRID Legends,Racing,11.99,2022,0
1237980,STAR WARS™ Battlefront,Action,4.99,2020,0
