app_id,metascore,user_score
960910,87.0,84
1199030,82.0,73
1498570,79.0,75
2239550,76.0,59
2000890,78.0,66
874390,72.0,81
2401970,85.0,81
1089090,75.0,79
1649080,83.0,73
736820,76.0,74
1487210,79.0,79
1451090,84.0,76
1280930,86.0,75
990630,83.0,77
1341290,76.0,78
1016920,77.0,72
740130,87.0,82
1369630,86.0,82
1896700,82.0,85
1351080,76.0,46
680420,73.0,60
1062810,80.0,63
839770,74.0,58
2725260,84.0,82
1426450,74.0,73
1158850,86.0,88
1139900,81.0,79
2290180,77.0,68
1205970,55.0,43
1253920,88.0,74
814370,74.0,77
1121640,75.0,0
1147860,91.0,75
2084000,88.0,82
1202130,70.0,72
3035570,76.0,70
2155180,85.0,58
788100,74.0,65
1522820,77.0,70
1536620,74.0,0
1533420,89.0,82
1562700,83.0,84
2933080,52.0,46
1043810,87.0,81
315210,60.0,35
1448440,80.0,67
700600,75.0,55
578650,85.0,78
1556790,67.0,66
1931770,86.0,85
835960,88.0,85
1887840,78.0,75
1484280,80.0,74
257420,68.0,71
1466640,79.0,77
1237320,70.0,81
2076010,80.0,56
1353230,75.0,84
2996040,73.0,76
1182900,82.0,83
1556100,69.0,67
1574580,83.0,69
1262560,84.0,63
1113120,72.0,72
1337760,74.0,66
1531540,77.0,65
1378990,85.0,80
629820,70.0,66
1262540,66.0,61
867210,78.0,72
2229870,84.0,84
1164940,79.0,75
1249970,53.0,40
793460,73.0,70
1277400,81.0,82
1581770,77.0,78
610370,86.0,82
1643310,74.0,78
1328660,75.0,62
1041720,72.0,70
1458100,71.0,68
553420,85.0,79
1811990,80.0,80
858820,73.0,70
1684350,74.0,70
807120,78.0,75
1658280,79.0,71
1408610,63.0,35
1065310,73.0,69
1262350,81.0,84
1547890,74.0,68
1262240,77.0,59
1658150,80.0,75
757320,78.0,71
1805480,81.0,74
536270,64.0,59
377300,65.0,60
1585180,78.0,85
1229240,90.0,84
1963570,79.0,73
1951410,73.0,75
1649950,84.0,63
837470,81.0,78
2751000,86.0,84
1003590,88.0,75
970830,72.0,79
1593030,79.0,66
933820,72.0,69
656350,83.0,68
1475810,75.0,71
2230110,75.0,62
607080,87.0,81
1211630,75.0,76
674140,75.0,76
1099410,75.0,60
1351240,51.0,47
1895880,88.0,85
1163550,69.0,69
826630,75.0,67
1701520,79.0,77
1740720,81.0,74
1094520,66.0,59
1238820,89.0,77
682990,59.0,48
1574820,76.0,87
1388590,83.0,85
1850510,83.0,81
1817230,87.0,88
1985820,73.0,37
1493640,78.0,77
482400,78.0,76
2172010,70.0,67
1123770,78.0,69
1649240,86.0,74
1413480,76.0,77
1715130,66.0,75
1656780,82.0,63
2138610,84.0,78
1238060,78.0,64
1382070,84.0,79
1295920,75.0,75
1020790,68.0,53
2703850,67.0,70
1222730,79.0,57
2287220,79.0,67
1677350,76.0,63
2375550,78.0,83
1624540,70.0,71
1388880,85.0,81
2221920,81.0,76
1839950,72.0,61
1983260,80.0,77
813230,90.0,80
2052040,78.0,77
601840,84.0,73
1177980,79.0,75
1703340,90.0,83
1260520,84.0,87
2272900,66.0,55
1220140,68.0,72
1252330,88.0,68
973810,74.0,70
2750080,54.0,35
987840,80.0,78
985890,84.0,81
1148760,91.0,79
1179580,74.0,45
742420,61.0,33
1469610,80.0,79
2369900,89.0,74
1902690,81.0,80
1227690,73.0,73
1128860,72.0,26
2475490,88.0,79
882100,77.0,48
803050,78.0,73
1874170,66.0,63
1257290,81.0,76
2477340,77.0,54
1672500,76.0,72
2396240,81.0,78
1049410,74.0,77
1150530,72.0,53
790710,69.0,52
2144740,80.0,75
2109370,72.0,78
2436570,83.0,78
2296990,82.0,78
1702330,68.0,62
1587130,80.0,72
1590910,74.0,72
900040,64.0,69
1944430,77.0,76
774181,89.0,83
1276760,53.0,52
1608070,78.0,76
1580240,81.0,83
1602010,84.0,77
1040230,76.0,64
1374840,80.0,58
775500,80.0,75
758870,89.0,76
978300,74.0,69
2603020,68.0,62
1274600,72.0,70
1939970,75.0,73
2008920,88.0,79
1307710,76.0,63
1237980,73.0,51
1818750,75.0,55
1874490,80.0,78
1024650,68.0,52
918570,73.0,64
894020,85.0,81
969990,68.0,88
1358700,72.0,66
1796220,83.0,75
1677770,84.0,78
874260,85.0,81
1434950,74.0,77
936790,81.0,69
1515210,68.0,73
1202200,65.0,43
1361510,85.0,80
604540,63.0,58
2634890,87.0,86
1712350,86.0,80
907650,65.0,63
1760250,69.0,17
893850,79.0,80
1668510,80.0,74
1227530,74.0,71
981430,84.0,78
897450,76.0,67
2380050,73.0,65
1623070,75.0,70
977880,82.0,70
1422440,82.0,63
1480560,72.0,48
2272250,83.0,76
1276790,80.0,75
1225570,77.0,76
1544020,69.0,68
2067050,63.0,63
1599660,79.0,82
1061910,79.0,75
1069160,76.0,84
2638370,87.0,78
1184050,80.0,78
1178830,67.0,70
550320,79.0,69
1030210,65.0,35
1281590,72.0,74
2021880,74.0,64
